Diseases,Symptoms,Specialist,Weight
transient ischemic attack,"depressive or psychotic symptoms , headache , weakness , focal weakness , symptoms of the face , disturbance of memory , dizziness , difficulty speaking , loss of sensation , paresthesia",Neurologist,63
pyelonephritis,"sharp abdominal pain , nausea , frequent urination , low back pain , side pain , suprapubic pain , lower abdominal pain , back pain , vomiting , painful urination , blood in urine",Nephrologist,45
rotator cuff injury,"hand or finger stiffness or tightness , shoulder pain , arm stiffness or tightness , shoulder stiffness or tightness , shoulder weakness , arm pain",Orthopedic Surgeon,87
chronic pain disorder,"hip pain , low back pain , pelvic pain , shoulder pain , leg pain , headache , knee pain , sharp abdominal pain , ache all over , back pain",Pain Management Specialist,35
problem during pregnancy,"sharp abdominal pain , vomiting , headache , nausea , lower abdominal pain , spotting or bleeding during pregnancy , cramps and spasms , back pain , pain during pregnancy , pelvic pain , problems during pregnancy",Obstetrician,77
liver cancer,"groin mass , sharp abdominal pain , upper abdominal pain , decreased appetite , stomach bloating",Oncologist,35
atelectasis,"dizziness , sore throat , cough , headache , shortness of breath , sharp chest pain",Pulmonologist,75
injury to the hand,"wrist swelling , hand or finger stiffness or tightness , skin growth , joint pain , hand or finger pain , wrist pain , hand or finger swelling",Traumatologist,43
choledocholithiasis,"sharp chest pain , sharp abdominal pain , nausea , upper abdominal pain , chills , decreased appetite , side pain , jaundice , vomiting",Gastroenterologist,73
injury to the hip,"leg pain , hand or finger swelling , neck pain , hip pain",Traumatologist,86
cirrhosis,"blood in stool , vomiting blood , regurgitation , upper abdominal pain , regurgitation.1 , abdominal distention , sharp abdominal pain , shortness of breath , peripheral edema",Hepatologist,55
thoracic aortic aneurysm,"sharp chest pain , dizziness , jaundice , shortness of breath , sharp abdominal pain , fatigue , chest tightness",Cardiologist,49
subdural hemorrhage,"depressive or psychotic symptoms , dizziness , irritable infant , vomiting , facial pain , headache",Neurologist,57
diabetic retinopathy,"symptoms of eye , pain in eye , abnormal movement of eyelid , foreign body sensation in eye , itchiness of eye , diminished vision , double vision , spots or clouds in vision , lacrimation",Ophthalmologist,50
fibromyalgia,"hip pain , headache , arm pain , low back pain , muscle pain , ache all over , sharp chest pain , neck pain , back pain , leg pain",Rheumatologist,80
ischemia of the bowel,"retention of urine , blood in stool , nausea , burning abdominal pain , sharp abdominal pain , constipation , vomiting",Gastroenterologist,47
fetal alcohol syndrome,"depressive or psychotic symptoms , emotional symptoms , excessive anger",Geneticist,60
peritonitis,"groin mass , vomiting , nausea , back pain , side pain , shortness of breath , sharp abdominal pain , intermenstrual bleeding",General Surgeon,38
injury to the abdomen,"sharp chest pain , leg pain , sharp abdominal pain , back pain , blood in urine",Traumatologist,39
acute pancreatitis,"vomiting , diarrhea , side pain , hemoptysis , sharp chest pain , abusing alcohol , sharp abdominal pain , burning abdominal pain , nausea , back pain , lower body pain , upper abdominal pain",Gastroenterologist,86
thrombophlebitis,"skin swelling , leg pain , arm pain , ache all over , foot or toe pain , leg swelling , arm swelling , skin on leg or foot looks infected , lymphedema",Vascular Surgeon,41
asthma,"sharp chest pain , wheezing , fever , coughing up sputum , coryza , allergic reaction , shortness of breath , chest tightness , difficulty breathing , cough , nasal congestion",Pulmonologist,58
foreign body in the vagina,"emotional symptoms , painful urination , vaginal discharge",Gynecologist,44
restless leg syndrome,"depression , abnormal involuntary movements , leg pain , fatigue , sleepiness , apnea , insomnia , headache",Neurologist,44
emphysema,"shortness of breath , cough , emotional symptoms , sharp chest pain",Pulmonologist,42
cysticercosis,"shortness of breath , elbow weakness , headache , seizures",Infectious Disease Specialist,38
induced abortion,"sharp abdominal pain , lower abdominal pain , intermenstrual bleeding , spotting or bleeding during pregnancy , cramps and spasms , groin pain , pain during pregnancy , vaginal discharge",Obstetrician,45
teething syndrome,"cough , nasal congestion , diarrhea , symptoms of infants , decreased appetite , fever , redness in ear , ear pain , temper problems",Pediatrician,44
infectious gastroenteritis,"blood in stool , sharp abdominal pain , vomiting , nausea , diarrhea , burning abdominal pain , decreased appetite , fever , chills , fluid retention , flu-like syndrome , headache",Infectious Disease Specialist,49
acute sinusitis,"sore throat , ear pain , frontal headache , fever , coryza , sinus congestion , nasal congestion , coughing up sputum , painful sinuses , cough , facial pain",ENT Specialist,52
substance-related mental disorder,"anxiety and nervousness , insomnia , hostile behavior , feeling ill , delusions or hallucinations , drug abuse , depressive or psychotic symptoms",Psychiatrist,82
postpartum depression,"depressive or psychotic symptoms , drug abuse , pain during pregnancy , problems during pregnancy , anxiety and nervousness , depression , intermenstrual bleeding , excessive anger , delusions or hallucinations",Psychiatrist,40
coronary atherosclerosis,"palpitations , irregular heartbeat , burning chest pain , chest tightness , shortness of breath , sharp chest pain , fatigue , leg cramps or spasms",Cardiologist,49
spondylitis,"leg pain , hip pain , low back pain , side pain , lower body pain , back mass or lump , back pain , stiffness all over , neck pain",Rheumatologist,51
pituitary adenoma,"nausea , pain in eye , muscle swelling , headache",Endocrinologist,56
uterine fibroids,"sharp abdominal pain , involuntary urination , lower abdominal pain , heavy menstrual flow , unpredictable menstruation , painful menstruation , pelvic pain , cramps and spasms , intermenstrual bleeding",Gynecologist,87
idiopathic nonmenstrual bleeding,"sharp abdominal pain , painful urination , long menstrual periods , vaginal discharge , unpredictable menstruation , intermenstrual bleeding",Gynecologist,67
chalazion,"skin growth , diminished vision , symptoms of eye , pain in eye , lacrimation , swollen eye , eyelid swelling , foreign body sensation in eye , mass on eyelid , eye redness",Ophthalmologist,36
ovarian torsion,"skin swelling , sharp abdominal pain , lower abdominal pain , ache all over , pelvic pain , groin mass",Gynecologist,86
retinopathy due to high blood pressure,"pus draining from ear , diminished vision , symptoms of eye , foreign body sensation in eye , pain in eye , spots or clouds in vision",Ophthalmologist,56
vaginal yeast infection,"suprapubic pain , sharp abdominal pain , vaginal itching , painful urination , lower abdominal pain , vaginal pain , itching of skin , vulvar irritation , vaginal redness , vaginal discharge",Gynecologist,46
mastoiditis,"nasal congestion , diminished hearing , dizziness , facial pain , cough , ear pain",ENT Specialist,43
lung contusion,"shortness of breath , sharp chest pain , ache all over , back pain",Pulmonologist,69
hypertrophic obstructive cardiomyopathy (hocm),"anxiety and nervousness , sharp chest pain , emotional symptoms",Cardiologist,74
ingrown toe nail,"abnormal appearing skin , skin growth , neck swelling , foot or toe pain , foot or toe swelling , skin dryness, peeling, scaliness, or roughness , skin on arm or hand looks infected , skin on leg or foot looks infected , irregular appearing nails , swollen eye",Podiatrist,44
pulmonary eosinophilia,"sharp chest pain , nasal congestion , paresthesia , dizziness , cough , fever , shortness of breath",Pulmonologist,63
corneal disorder,"diminished vision , foreign body sensation in eye , spots or clouds in vision , lacrimation , white discharge from eye , double vision , eye redness , pain in eye , itchiness of eye , symptoms of eye",Ophthalmologist,36
foreign body in the gastrointestinal tract,"lump in throat , difficulty in swallowing , recent weight loss , sharp abdominal pain , vomiting , vomiting blood",Gastroenterologist,53
endophthalmitis,"painful urination , diminished vision , pain in eye , swollen eye , eye redness , itchiness of eye",Ophthalmologist,33
intestinal malabsorption,"cough , sharp abdominal pain , vomiting , allergic reaction , nasal congestion , flatulence , diarrhea",Gastroenterologist,46
viral warts,"skin swelling , lip swelling , abnormal appearing skin , skin growth , skin moles , warts , skin lesion , bumps on penis , acne or pimples",Dermatologist,60
hyperhidrosis,"cough , fever , warts , sweating , acne or pimples",Dermatologist,74
stroke,"abnormal involuntary movements , difficulty speaking , headache , problems with movement , focal weakness , slurring words , depressive or psychotic symptoms , dizziness , seizures , disturbance of memory",Neurologist,90
pilonidal cyst,"skin growth , pelvic pain , bones are painful , skin swelling , pain of the anus , lower body pain , irregular appearing scalp , ache all over",General Surgeon,56
crushing injury,"hand or finger pain , hand or finger swelling , neck swelling , foot or toe pain , knee swelling , hand or finger stiffness or tightness",Orthopedic Surgeon,62
normal pressure hydrocephalus,"depressive or psychotic symptoms , palpitations , headache , problems with movement",Neurologist,72
alopecia,"feeling ill , acne or pimples , irregular appearing scalp , itching of skin , too little hair , skin swelling , skin growth , skin rash",Dermatologist,54
hashimoto thyroiditis,"abnormal involuntary movements , weight gain",Endocrinologist,52
flat feet,"skin swelling , knee pain , ankle pain , problems with movement , foot or toe pain",Orthopedic Surgeon,40
nonalcoholic liver disease (nash),"dizziness , sharp abdominal pain , nausea , mouth ulcer , weight gain",Hepatologist,85
hemarthrosis,"frequent urination , knee pain , elbow weakness , knee swelling",Hematologist,78
pelvic organ prolapse,"suprapubic pain , blood in urine , intermenstrual bleeding , vaginal pain , symptoms of bladder , retention of urine , frequent urination , vaginal discharge , involuntary urination",Gynecologist,84
fracture of the arm,"arm stiffness or tightness , wrist stiffness or tightness , elbow pain , wrist pain , arm pain , arm swelling , shoulder pain , elbow swelling , shoulder stiffness or tightness , wrist swelling",Orthopedic Surgeon,63
coagulation (bleeding) disorder,"blood in urine , knee swelling , melena , leg pain , eye redness",Hematologist,39
intracranial hemorrhage,"dizziness , abnormal involuntary movements , difficulty speaking , vomiting , diminished vision , seizures , depressive or psychotic symptoms , headache",Neurologist,49
hyperkalemia,"depressive or psychotic symptoms , difficulty in swallowing , feeling ill , vomiting , nausea , decreased heart rate , shortness of breath , weakness , dizziness , sharp chest pain",Nephrologist,61
cornea infection,"diminished vision , symptoms of eye , pain in eye , spots or clouds in vision , eye redness , lacrimation , eye burns or stings , itchiness of eye , lip swelling , foreign body sensation in eye , swollen eye",Ophthalmologist,37
abscess of the lung,"depressive or psychotic symptoms , itchy eyelid , shortness of breath , cough",Pulmonologist,85
dengue fever,"sore throat , wrist pain , pain behind the eyes, joint and muscle pain, nausea, rash, mild bleeding",Infectious Disease Specialist,73
chronic sinusitis,"cough , facial pain , ear pain , fever , sinus congestion , sore throat , congestion in chest , frontal headache , headache , painful sinuses",ENT Specialist,66
cholesteatoma,"nasal congestion , diminished hearing , pus draining from ear , muscle swelling",ENT Specialist,66
volvulus,"depressive or psychotic symptoms , elbow weakness , vomiting , sharp abdominal pain",Gastroenterologist,85
injury to the finger,"swelling of scrotum , hand or finger swelling , hand or finger pain , hand or finger stiffness or tightness",Orthopedic Surgeon,55
poisoning due to analgesics,"depressive or psychotic symptoms , skin swelling , problems during pregnancy , depression , vomiting , abusing alcohol",Toxicologist,93
atrial fibrillation,"shortness of breath , sharp chest pain , palpitations , decreased heart rate , increased heart rate , fatigue , dizziness , irregular heartbeat",Cardiologist,47
pinworm infection,"painful urination , pain of the anus , constipation , itching of the anus , retention of urine , sharp abdominal pain",Infectious Disease Specialist,32
urethral valves,"suprapubic pain , sharp abdominal pain , lower abdominal pain , elbow weakness , side pain",Urologist,41
open wound of the neck,"skin swelling , skin lesion , peripheral edema , ache all over , abnormal appearing skin",General Surgeon,62
achalasia,"chest tightness , cough , throat feels tight , difficulty in swallowing , sharp chest pain",Gastroenterologist,62
conductive hearing loss,"dizziness , hoarse voice , difficulty speaking , diminished hearing , ringing in ear , fluid in ear , plugged feeling in ear , redness in ear , low self-esteem , ear pain",ENT Specialist,56
abdominal hernia,"groin mass , symptoms of the scrotum and testes , lower abdominal pain , regurgitation , swollen abdomen , regurgitation.1 , irregular belly button , ache all over , sharp abdominal pain , upper abdominal pain",General Surgeon,82
cerebral palsy,"lack of growth , problems with movement , infant feeding problem , blindness , cramps and spasms , seizures",Neurologist,50
marijuana abuse,"depressive or psychotic symptoms , hostile behavior , drug abuse , excessive anger , delusions or hallucinations , temper problems , fears and phobias , difficulty speaking , anxiety and nervousness , depression , abusing alcohol , low self-esteem",Psychiatrist,60
cryptococcosis,"depressive or psychotic symptoms , cross-eyed",Infectious Disease Specialist,43
obesity,"weight gain , sleepiness , excessive appetite",Endocrinologist,31
indigestion,"sharp chest pain , burning abdominal pain , heartburn , decreased appetite , sharp abdominal pain , nausea , diarrhea , stomach bloating , vomiting",Gastroenterologist,85
bursitis,"leg pain , arm stiffness or tightness , knee swelling , elbow swelling , arm pain , shoulder pain , hip pain , arm swelling , shoulder stiffness or tightness , elbow pain , leg swelling , knee pain",Orthopedic Surgeon,85
esophageal cancer,"sharp abdominal pain , shortness of breath , hoarse voice , decreased appetite , stomach bloating",Oncologist,63
pulmonary congestion,"shortness of breath , cough , weakness , fever , sharp chest pain , decreased heart rate , chest tightness , leg swelling , nasal congestion",Pulmonologist,61
juvenile rheumatoid arthritis,"hand or finger pain , wrist swelling , knee pain , joint pain , back pain",Rheumatologist,60
actinic keratosis,"skin swelling , skin lesion , skin growth , skin moles , symptoms of the face , skin dryness, peeling, scaliness, or roughness , skin irritation , skin rash , irregular appearing scalp , itching of skin , abnormal appearing skin",Dermatologist,62
acute otitis media,"sore throat , cough , nasal congestion , plugged feeling in ear , fluid in ear , coryza , ear pain , redness in ear , fever , diminished hearing",ENT Specialist,40
astigmatism,"diminished vision , spots or clouds in vision , symptoms of eye , pain in eye , foreign body sensation in eye , double vision , lacrimation , eye deviation",Ophthalmologist,89
tuberous sclerosis,"depressive or psychotic symptoms , elbow weakness , seizures",Neurologist,32
empyema,"sharp chest pain , cough , leg pain , shortness of breath",Pulmonologist,55
presbyacusis,"dizziness , diminished hearing , emotional symptoms , ear pain , ringing in ear",ENT Specialist,64
neonatal jaundice,"lack of growth , irritable infant , changes in stool appearance , jaundice , infant feeding problem",Pediatrician,76
chronic obstructive pulmonary disease (copd),"sharp chest pain , chest tightness , cough , nasal congestion , coughing up sputum , coryza , congestion in chest , shortness of breath , sore throat , wheezing , fever",Pulmonologist,75
dislocation of the elbow,"irritable infant , wrist pain , elbow pain , depression , arm pain , arm stiffness or tightness , elbow swelling",Orthopedic Surgeon,79
spondylosis,"leg pain , hip pain , arm pain , neck pain , low back pain , knee pain , loss of sensation , back pain , paresthesia , shoulder pain , lower body pain , ache all over",Orthopedic Surgeon,78
herpangina,"insomnia , cough , mouth ulcer , swollen lymph nodes , sore throat , decreased appetite , fever , skin rash , vomiting",Pediatrician,36
injury to the shoulder,"arm stiffness or tightness , bones are painful , shoulder pain , neck pain , muscle cramps, contractures, or spasms , arm pain , back pain , shoulder stiffness or tightness , elbow pain",Orthopedic Surgeon,78
poisoning due to antidepressants,"emotional symptoms , abusing alcohol , drug abuse , depression",Toxicologist,99
infection of open wound,"insomnia , hand or finger swelling , abnormal appearing skin , leg pain",Infectious Disease Specialist,72
deep vein thrombosis (dvt),"abnormal appearing skin , leg cramps or spasms , leg stiffness or tightness , leg pain , arm swelling , foot or toe swelling , leg swelling",Vascular Surgeon,46
protein deficiency,"depression , vomiting , nausea , smoking problems , weakness",Nutritionist,54
myoclonus,"insomnia , abnormal involuntary movements , muscle swelling , seizures",Neurologist,51
bone spur of the calcaneous,"foot or toe pain , ankle pain , elbow pain , foot or toe swelling , leg pain",Podiatrist,43
von willebrand disease,"blood in stool , muscle swelling , nosebleed",Hematologist,74
open wound of the back,"irregular heartbeat , weight gain , lower body pain , skin lesion",General Surgeon,80
heart block,"shortness of breath , sharp chest pain , dizziness , chest tightness , irregular heartbeat , peripheral edema , weight gain , palpitations , weakness , fainting",Cardiologist,66
colonic polyp,"flatulence , sharp abdominal pain , heartburn , blood in stool , pain of the anus , upper abdominal pain , diarrhea , rectal bleeding",Gastroenterologist,81
magnesium deficiency,"shortness of breath , sharp chest pain , dizziness , leg pain",Nutritionist,47
female infertility of unknown cause,"scanty menstrual flow , long menstrual periods , unpredictable menstruation , pain during intercourse , infertility",Gynecologist,61
pericarditis,"shortness of breath , chest tightness , palpitations , sharp abdominal pain , sharp chest pain , lower body pain",Cardiologist,47
attention deficit hyperactivity disorder (adhd),"depression , depressive or psychotic symptoms , lack of growth , hostile behavior , temper problems , antisocial behavior , anxiety and nervousness , drug abuse , restlessness",Psychiatrist,35
pulmonic valve disease,"shortness of breath , emotional symptoms",Cardiologist,48
tietze syndrome,"shortness of breath , chest tightness , cough , nausea , loss of sensation , difficulty breathing , rib pain , sharp chest pain",Rheumatologist,63
cranial nerve palsy,"difficulty speaking , facial pain , double vision , abnormal movement of eyelid , abnormal involuntary movements , diminished vision , symptoms of the face , headache",Neurologist,70
injury to the arm,"hand or finger pain , arm pain , bones are painful , loss of sensation , elbow swelling , hand or finger swelling , elbow pain , wrist pain , wrist swelling , arm swelling , joint pain , arm stiffness or tightness",Orthopedic Surgeon,85
conversion disorder,"anxiety and nervousness , depression , cough , seizures",Psychiatrist,54
complex regional pain syndrome,"leg pain , hand or finger pain , foot or toe pain , ache all over , arm pain , back pain , neck pain , low back pain , loss of sensation , abnormal involuntary movements , problems with movement , paresthesia",Neurologist,82
otosclerosis,"dizziness , diminished hearing , emotional symptoms",ENT Specialist,33
injury to the trunk,"symptoms of the scrotum and testes , headache , back pain , neck pain , shoulder pain , rib pain , sharp chest pain , wrist pain , low back pain , bones are painful , lower body pain",Orthopedic Surgeon,57
hypothyroidism,"hot flashes , wrist swelling , weight gain , fatigue , too little hair , muscle pain",Endocrinologist,81
primary insomnia,"anxiety and nervousness , insomnia , abnormal involuntary movements , sleepiness , fatigue , delusions or hallucinations , abnormal breathing sounds",Sleep Medicine Specialist,52
lice,"cough , nasal congestion , itching of skin , itchy scalp , leg lump or mass",Dermatologist,84
vitamin b12 deficiency,"knee stiffness or tightness , disturbance of memory , fatigue , hot flashes , problems with movement",Nutritionist,74
diabetes,"weight gain , thirst",Endocrinologist,50
vulvodynia,"nausea , back pain , pelvic pain , burning abdominal pain , side pain , painful urination , lower abdominal pain , vaginal discharge , pain during pregnancy , sharp abdominal pain , vaginal pain , cramps and spasms",Gynecologist,61
endometriosis,"sharp abdominal pain , hot flashes , intermenstrual bleeding , pelvic pain , painful menstruation , infertility , lower abdominal pain , burning abdominal pain , heavy menstrual flow",Gynecologist,45
vasculitis,"headache , foot or toe swelling , leg stiffness or tightness , lymphedema , skin rash , dizziness , leg pain , skin lesion",Rheumatologist,52
concussion,"dizziness , difficulty speaking , headache , nausea , rib pain , facial pain , back pain , neck pain , sleepiness , vomiting , double vision , disturbance of memory",Neurologist,69
oral leukoplakia,"skin swelling , elbow weakness , tongue lesions",Dentist,36
chronic kidney disease,"shortness of breath , peripheral edema , fatigue , feeling cold , symptoms of the kidneys",Nephrologist,74
bladder disorder,"suprapubic pain , painful urination , involuntary urination , frequent urination , lower abdominal pain , blood in urine , retention of urine , sharp abdominal pain , symptoms of bladder",Urologist,63
chorioretinitis,"pain in eye , spots or clouds in vision , diminished vision , double vision , muscle swelling",Ophthalmologist,54
priapism,"abusing alcohol , penis pain , elbow weakness , painful urination",Urologist,48
myositis,"leg pain , hip pain , headache , loss of sensation , knee pain , problems with movement",Rheumatologist,41
mononucleosis,"cough , feeling ill , headache , swollen lymph nodes , nasal congestion , fever , skin rash , sore throat",General Practitioner,76
neuralgia,"hip pain , headache , arm pain , neck pain , loss of sensation , ache all over , leg pain , back pain , shoulder pain , low back pain",Neurologist,30
polycystic kidney disease,"retention of urine , blood in urine , skin growth , kidney mass , sharp abdominal pain , low back pain , back pain , side pain",Nephrologist,85
bipolar disorder,"abusing alcohol , excessive anger , temper problems , obsessions and compulsions , depression , insomnia , delusions or hallucinations , anxiety and nervousness , depressive or psychotic symptoms , fears and phobias",Psychiatrist,77
amyloidosis,"anxiety and nervousness , shortness of breath , wrist weakness",Rheumatologist,39
chronic inflammatory demyelinating polyneuropathy (cidp),"dizziness , weakness , loss of sensation , problems with movement",Neurologist,40
gastroesophageal reflux disease (gerd),"cough , difficulty in swallowing , sharp abdominal pain , burning abdominal pain , hoarse voice , regurgitation , regurgitation.1 , sharp chest pain , nausea , chest tightness",Gastroenterologist,47
vitreous hemorrhage,"symptoms of eye , pain in eye , lacrimation , diminished vision , spots or clouds in vision , blindness",Ophthalmologist,44
poisoning due to antimicrobial drugs,"shortness of breath , abnormal involuntary movements , peripheral edema , allergic reaction , problems with movement , skin rash",Toxicologist,97
open wound of the mouth,"lip swelling , peripheral edema , seizures , toothache , mouth ulcer , tongue lesions",Oral Surgeon,61
scleroderma,"feeling ill , lip swelling , abnormal appearing skin , skin growth , skin dryness, peeling, scaliness, or roughness , skin lesion , itching of skin , skin irritation",Rheumatologist,88
myasthenia gravis,"shortness of breath , dizziness , double vision , slurring words , coughing up sputum , fatigue , weakness",Neurologist,48
hypoglycemia,"depressive or psychotic symptoms , dizziness , abnormal involuntary movements , feeling ill , nausea , problems with movement , seizures , sweating , fainting , weakness , decreased appetite , sleepiness",Endocrinologist,87
idiopathic absence of menstruation,"nausea , lower abdominal pain , pelvic pain , pain or soreness of breast , long menstrual periods , sharp abdominal pain , vaginal itching , absence of menstruation , heartburn",Gynecologist,34
dislocation of the ankle,"emotional symptoms , foot or toe pain , ankle swelling , ankle pain",Orthopedic Surgeon,87
carbon monoxide poisoning,"depressive or psychotic symptoms , headache , emotional symptoms , vomiting , nausea , dizziness",Emergency Medicine Specialist,92
panic attack,"anxiety and nervousness , sharp chest pain , chest tightness , loss of sensation , shortness of breath , irregular heartbeat , weakness",Psychiatrist,40
plantar fasciitis,"knee pain , foot or toe pain , ankle pain , bones are painful , problems with movement , ankle swelling , muscle pain",Podiatrist,68
hyperopia,"difficulty speaking , eye deviation , symptoms of eye , spots or clouds in vision , eye redness , diminished vision",Ophthalmologist,37
poisoning due to sedatives,"depression , drug abuse , depressive or psychotic symptoms , insomnia , hostile behavior , sleepiness",Toxicologist,95
pemphigus,"hand or finger pain , skin lesion , abnormal appearing skin",Dermatologist,71
peyronie disease,"mass in scrotum , impotence , penis pain , emotional symptoms , symptoms of prostate",Urologist,37
hiatal hernia,"dizziness , difficulty in swallowing , nausea , regurgitation , burning abdominal pain , heartburn , regurgitation.1 , sharp chest pain , back pain , vomiting blood , upper abdominal pain , sharp abdominal pain",Gastroenterologist,45
extrapyramidal effect of drugs,"abnormal involuntary movements , headache , restlessness , seizures , anxiety and nervousness , arm stiffness or tightness",Neurologist,79
meniere disease,"headache , ringing in ear , nausea , facial pain , ear pain , dizziness , diminished hearing , allergic reaction",ENT Specialist,89
anal fissure,"blood in stool , sharp abdominal pain , vaginal dryness , lower body pain , changes in stool appearance , constipation , pain of the anus , rectal bleeding",General Practitioner,47
allergy,"skin swelling , lip swelling , itchiness of eye , fluid retention , swollen eye , itching of skin , skin rash , cough , abnormal appearing skin , allergic reaction , peripheral edema",Allergist,79
chronic otitis media,"cough , nasal congestion , ear pain , allergic reaction , pulling at ears , painful sinuses , plugged feeling in ear , fever , fluid in ear , redness in ear",ENT Specialist,55
fracture of the finger,"hand or finger swelling , hand or finger stiffness or tightness , foot or toe pain , hand or finger pain , foot or toe swelling",Orthopedic Surgeon,30
hirschsprung disease,"emotional symptoms , sharp abdominal pain , constipation",Pediatric Surgeon,46
polymyalgia rheumatica,"irregular heartbeat , difficulty in swallowing , leg pain , sharp chest pain , shoulder pain , fatigue",Rheumatologist,78
lymphedema,"throat swelling , abnormal appearing skin , skin lesion , peripheral edema , lymphedema , leg swelling , fluid retention , leg pain , foot or toe swelling",General Practitioner,60
bladder cancer,"groin mass , mass in scrotum , blood in urine , excessive urination at night , symptoms of bladder , bladder mass , retention of urine",Oncologist,57
acute bronchospasm,"sharp chest pain , chest tightness , nasal congestion , vomiting , wheezing , difficulty breathing , shortness of breath , fever , sore throat , coryza , cough",Pulmonologist,66
acute glaucoma,"diminished vision , blindness , double vision , symptoms of eye , spots or clouds in vision , eye redness , foreign body sensation in eye , pain in eye",Ophthalmologist,68
open wound of the chest,"sharp chest pain , drug abuse",General Practitioner,76
dislocation of the patella,"knee pain , knee stiffness or tightness , knee swelling",Orthopedic Surgeon,65
sciatica,"leg pain , hip pain , low back pain , leg cramps or spasms , unusual color or odor to urine , leg weakness , problems with movement , back cramps or spasms , loss of sensation , lower body pain",Neurologist,87
hypercalcemia,"dizziness , retention of urine , weakness , loss of sensation",Endocrinologist,83
stress incontinence,"retention of urine , painful urination , frequent urination , blood in urine , hot flashes , intermenstrual bleeding , involuntary urination",Urologist,69
varicose veins,"leg pain , leg swelling , lymphedema , leg lump or mass , leg cramps or spasms , ache all over , skin lesion , peripheral edema",Vascular Surgeon,78
benign kidney cyst,"sharp abdominal pain , vomiting , involuntary urination , blood in urine , low back pain , impotence , side pain",Nephrologist,48
hydrocele of the testicle,"retention of urine , groin mass , symptoms of the scrotum and testes , pain in testicles , mass in scrotum , lower abdominal pain , groin pain , swelling of scrotum",Urologist,59
degenerative disc disease,"leg pain , arm pain , back pain , low back pain , loss of sensation , shoulder pain , lower body pain , joint pain , neck pain , paresthesia , hip pain",Orthopedic Surgeon,37
hirsutism,"abnormal appearing skin , acne or pimples , unwanted hair , apnea",Endocrinologist,48
dislocation of the foot,"elbow weakness , vomiting , foot or toe pain",Orthopedic Surgeon,58
hydronephrosis,"pain in testicles , sharp abdominal pain , nausea , lower abdominal pain , back pain , side pain , suprapubic pain , vomiting",Urologist,38
diverticulosis,"blood in stool , nausea , lower abdominal pain , heartburn , melena , rectal bleeding , sharp abdominal pain , vomiting , diarrhea , upper abdominal pain",Gastroenterologist,73
pain after an operation,"sharp chest pain , leg pain , headache , back pain , low back pain , nausea , lower abdominal pain , neck pain , side pain , sharp abdominal pain , vomiting",Pain Management Specialist,61
huntington disease,"anxiety and nervousness , elbow weakness",Neurologist,89
