ll ,Symptoms,Specialist
nonalcoholic liver disease (nash),"dizziness , sharp abdominal pain , nausea , mouth ulcer , weight gain",General Practitioner
hemarthrosis,"frequent urination , knee pain , elbow weakness , knee swelling",General Practitioner
pelvic organ prolapse,"suprapubic pain , blood in urine , intermenstrual bleeding , vaginal pain , symptoms of bladder , retention of urine , frequent urination , vaginal discharge , involuntary urination",General Practitioner
fracture of the arm,"arm stiffness or tightness , wrist stiffness or tightness , elbow pain , wrist pain , arm pain , arm swelling , shoulder pain , elbow swelling , shoulder stiffness or tightness , wrist swelling",Orthopedic Surgeon
coagulation (bleeding) disorder,"blood in urine , knee swelling , melena , leg pain , eye redness",Psychiatrist
intracranial hemorrhage,"dizziness , abnormal involuntary movements , difficulty speaking , vomiting , diminished vision , seizures , depressive or psychotic symptoms , headache",General Practitioner
hyperkalemia,"depressive or psychotic symptoms , difficulty in swallowing , feeling ill , vomiting , nausea , decreased heart rate , shortness of breath , weakness , dizziness , sharp chest pain",General Practitioner
cornea infection,"diminished vision , symptoms of eye , pain in eye , spots or clouds in vision , eye redness , lacrimation , eye burns or stings , itchiness of eye , lip swelling , foreign body sensation in eye , swollen eye",Infectious Disease Specialist
abscess of the lung,"depressive or psychotic symptoms , itchy eyelid , shortness of breath , cough",General Practitioner
dengue fever,"sore throat , wrist pain , pain behind the eyes, joint and muscle pain, nausea, rash, mild bleeding",General Practitioner
chronic sinusitis,"cough , facial pain , ear pain , fever , sinus congestion , sore throat , congestion in chest , frontal headache , headache , painful sinuses",General Practitioner
cholesteatoma,"nasal congestion , diminished hearing , pus draining from ear , muscle swelling",General Practitioner
volvulus,"depressive or psychotic symptoms , elbow weakness , vomiting , sharp abdominal pain",General Practitioner
injury to the finger,"swelling of scrotum , hand or finger swelling , hand or finger pain , hand or finger stiffness or tightness",Traumatologist
poisoning due to analgesics,"depressive or psychotic symptoms , skin swelling , problems during pregnancy , depression , vomiting , abusing alcohol",General Practitioner
atrial fibrillation,"shortness of breath , sharp chest pain , palpitations , decreased heart rate , increased heart rate , fatigue , dizziness , irregular heartbeat",General Practitioner
pinworm infection,"painful urination , pain of the anus , constipation , itching of the anus , retention of urine , sharp abdominal pain",Infectious Disease Specialist
urethral valves,"suprapubic pain , sharp abdominal pain , lower abdominal pain , elbow weakness , side pain",General Practitioner
open wound of the neck,"skin swelling , skin lesion , peripheral edema , ache all over , abnormal appearing skin",General Practitioner
achalasia,"chest tightness , cough , throat feels tight , difficulty in swallowing , sharp chest pain",General Practitioner
conductive hearing loss,"dizziness , hoarse voice , difficulty speaking , diminished hearing , ringing in ear , fluid in ear , plugged feeling in ear , redness in ear , low self-esteem , ear pain",General Practitioner
abdominal hernia,"groin mass , symptoms of the scrotum and testes , lower abdominal pain , regurgitation , swollen abdomen , regurgitation.1 , irregular belly button , ache all over , sharp abdominal pain , upper abdominal pain",General Practitioner
cerebral palsy,"lack of growth , problems with movement , infant feeding problem , blindness , cramps and spasms , seizures",General Practitioner
marijuana abuse,"depressive or psychotic symptoms , hostile behavior , drug abuse , excessive anger , delusions or hallucinations , temper problems , fears and phobias , difficulty speaking , anxiety and nervousness , depression , abusing alcohol , low self-esteem",General Practitioner
cryptococcosis,"depressive or psychotic symptoms , cross-eyed",General Practitioner
obesity,"weight gain , sleepiness , excessive appetite",General Practitioner
indigestion,"sharp chest pain , burning abdominal pain , heartburn , decreased appetite , sharp abdominal pain , nausea , diarrhea , stomach bloating , vomiting",General Practitioner
bursitis,"leg pain , arm stiffness or tightness , knee swelling , elbow swelling , arm pain , shoulder pain , hip pain , arm swelling , shoulder stiffness or tightness , elbow pain , leg swelling , knee pain",General Practitioner
esophageal cancer,"sharp abdominal pain , shortness of breath , hoarse voice , decreased appetite , stomach bloating",Oncologist
pulmonary congestion,"shortness of breath , cough , weakness , fever , sharp chest pain , decreased heart rate , chest tightness , leg swelling , nasal congestion",General Practitioner
juvenile rheumatoid arthritis,"hand or finger pain , wrist swelling , knee pain , joint pain , back pain",General Practitioner
actinic keratosis,"skin swelling , skin lesion , skin growth , skin moles , symptoms of the face , skin dryness, peeling, scaliness, or roughness , skin irritation , skin rash , irregular appearing scalp , itching of skin , abnormal appearing skin",General Practitioner
acute otitis media,"sore throat , cough , nasal congestion , plugged feeling in ear , fluid in ear , coryza , ear pain , redness in ear , fever , diminished hearing",General Practitioner
astigmatism,"diminished vision , spots or clouds in vision , symptoms of eye , pain in eye , foreign body sensation in eye , double vision , lacrimation , eye deviation",General Practitioner
tuberous sclerosis,"depressive or psychotic symptoms , elbow weakness , seizures",General Practitioner
empyema,"sharp chest pain , cough , leg pain , shortness of breath",General Practitioner
presbyacusis,"dizziness , diminished hearing , emotional symptoms , ear pain , ringing in ear",General Practitioner
neonatal jaundice,"lack of growth , irritable infant , changes in stool appearance , jaundice , infant feeding problem",General Practitioner
chronic obstructive pulmonary disease (copd),"sharp chest pain , chest tightness , cough , nasal congestion , coughing up sputum , coryza , congestion in chest , shortness of breath , sore throat , wheezing , fever",General Practitioner
dislocation of the elbow,"irritable infant , wrist pain , elbow pain , depression , arm pain , arm stiffness or tightness , elbow swelling",General Practitioner
spondylosis,"leg pain , hip pain , arm pain , neck pain , low back pain , knee pain , loss of sensation , back pain , paresthesia , shoulder pain , lower body pain , ache all over",General Practitioner
herpangina,"insomnia , cough , mouth ulcer , swollen lymph nodes , sore throat , decreased appetite , fever , skin rash , vomiting",General Practitioner
injury to the shoulder,"arm stiffness or tightness , bones are painful , shoulder pain , neck pain , muscle cramps, contractures, or spasms , arm pain , back pain , shoulder stiffness or tightness , elbow pain",Traumatologist
poisoning due to antidepressants,"emotional symptoms , abusing alcohol , drug abuse , depression",General Practitioner
infection of open wound,"insomnia , hand or finger swelling , abnormal appearing skin , leg pain",Infectious Disease Specialist
deep vein thrombosis (dvt),"abnormal appearing skin , leg cramps or spasms , leg stiffness or tightness , leg pain , arm swelling , foot or toe swelling , leg swelling",General Practitioner
protein deficiency,"depression , vomiting , nausea , smoking problems , weakness",General Practitioner
myoclonus,"insomnia , abnormal involuntary movements , muscle swelling , seizures",General Practitioner
bone spur of the calcaneous,"foot or toe pain , ankle pain , elbow pain , foot or toe swelling , leg pain",General Practitioner
von willebrand disease,"blood in stool , muscle swelling , nosebleed",General Practitioner
open wound of the back,"irregular heartbeat , weight gain , lower body pain , skin lesion",General Practitioner
heart block,"shortness of breath , sharp chest pain , dizziness , chest tightness , irregular heartbeat , peripheral edema , weight gain , palpitations , weakness , fainting",General Practitioner
colonic polyp,"flatulence , sharp abdominal pain , heartburn , blood in stool , pain of the anus , upper abdominal pain , diarrhea , rectal bleeding",ENT Specialist
magnesium deficiency,"shortness of breath , sharp chest pain , dizziness , leg pain",General Practitioner
female infertility of unknown cause,"scanty menstrual flow , long menstrual periods , unpredictable menstruation , pain during intercourse , infertility",General Practitioner
pericarditis,"shortness of breath , chest tightness , palpitations , sharp abdominal pain , sharp chest pain , lower body pain",General Practitioner
attention deficit hyperactivity disorder (adhd),"depression , depressive or psychotic symptoms , lack of growth , hostile behavior , temper problems , antisocial behavior , anxiety and nervousness , drug abuse , restlessness",Psychiatrist
pulmonic valve disease,"shortness of breath , emotional symptoms",General Practitioner
tietze syndrome,"shortness of breath , chest tightness , cough , nausea , loss of sensation , difficulty breathing , rib pain , sharp chest pain",Geneticist
cranial nerve palsy,"difficulty speaking , facial pain , double vision , abnormal movement of eyelid , abnormal involuntary movements , diminished vision , symptoms of the face , headache",General Practitioner
injury to the arm,"hand or finger pain , arm pain , bones are painful , loss of sensation , elbow swelling , hand or finger swelling , elbow pain , wrist pain , wrist swelling , arm swelling , joint pain , arm stiffness or tightness",Traumatologist
conversion disorder,"anxiety and nervousness , depression , cough , seizures",Psychiatrist
complex regional pain syndrome,"leg pain , hand or finger pain , foot or toe pain , ache all over , arm pain , back pain , neck pain , low back pain , loss of sensation , abnormal involuntary movements , problems with movement , paresthesia",Geneticist
otosclerosis,"dizziness , diminished hearing , emotional symptoms",General Practitioner
injury to the trunk,"symptoms of the scrotum and testes , headache , back pain , neck pain , shoulder pain , rib pain , sharp chest pain , wrist pain , low back pain , bones are painful , lower body pain",Traumatologist
hypothyroidism,"hot flashes , wrist swelling , weight gain , fatigue , too little hair , muscle pain",Endocrinologist
primary insomnia,"anxiety and nervousness , insomnia , abnormal involuntary movements , sleepiness , fatigue , delusions or hallucinations , abnormal breathing sounds",General Practitioner
lice,"cough , nasal congestion , itching of skin , itchy scalp , leg lump or mass",General Practitioner
vitamin b12 deficiency,"knee stiffness or tightness , disturbance of memory , fatigue , hot flashes , problems with movement",General Practitioner
diabetes,"weight gain , thirst",General Practitioner
vulvodynia,"nausea , back pain , pelvic pain , burning abdominal pain , side pain , painful urination , lower abdominal pain , vaginal discharge , pain during pregnancy , sharp abdominal pain , vaginal pain , cramps and spasms",General Practitioner
endometriosis,"sharp abdominal pain , hot flashes , intermenstrual bleeding , pelvic pain , painful menstruation , infertility , lower abdominal pain , burning abdominal pain , heavy menstrual flow",General Practitioner
vasculitis,"headache , foot or toe swelling , leg stiffness or tightness , lymphedema , skin rash , dizziness , leg pain , skin lesion",General Practitioner
concussion,"dizziness , difficulty speaking , headache , nausea , rib pain , facial pain , back pain , neck pain , sleepiness , vomiting , double vision , disturbance of memory",General Practitioner
oral leukoplakia,"skin swelling , elbow weakness , tongue lesions",General Practitioner
chronic kidney disease,"shortness of breath , peripheral edema , fatigue , feeling cold , symptoms of the kidneys",General Practitioner
bladder disorder,"suprapubic pain , painful urination , involuntary urination , frequent urination , lower abdominal pain , blood in urine , retention of urine , sharp abdominal pain , symptoms of bladder",Psychiatrist
chorioretinitis,"pain in eye , spots or clouds in vision , diminished vision , double vision , muscle swelling",General Practitioner
priapism,"abusing alcohol , penis pain , elbow weakness , painful urination",General Practitioner
myositis,"leg pain , hip pain , headache , loss of sensation , knee pain , problems with movement",General Practitioner
mononucleosis,"cough , feeling ill , headache , swollen lymph nodes , nasal congestion , fever , skin rash , sore throat",General Practitioner
neuralgia,"hip pain , headache , arm pain , neck pain , loss of sensation , ache all over , leg pain , back pain , shoulder pain , low back pain",General Practitioner
polycystic kidney disease,"retention of urine , blood in urine , skin growth , kidney mass , sharp abdominal pain , low back pain , back pain , side pain",General Practitioner
bipolar disorder,"abusing alcohol , excessive anger , temper problems , obsessions and compulsions , depression , insomnia , delusions or hallucinations , anxiety and nervousness , depressive or psychotic symptoms , fears and phobias",Psychiatrist
amyloidosis,"anxiety and nervousness , shortness of breath , wrist weakness",General Practitioner
chronic inflammatory demyelinating polyneuropathy (cidp),"dizziness , weakness , loss of sensation , problems with movement",General Practitioner
gastroesophageal reflux disease (gerd),"cough , difficulty in swallowing , sharp abdominal pain , burning abdominal pain , hoarse voice , regurgitation , regurgitation.1 , sharp chest pain , nausea , chest tightness",General Practitioner
vitreous hemorrhage,"symptoms of eye , pain in eye , lacrimation , diminished vision , spots or clouds in vision , blindness",General Practitioner
poisoning due to antimicrobial drugs,"shortness of breath , abnormal involuntary movements , peripheral edema , allergic reaction , problems with movement , skin rash",General Practitioner
open wound of the mouth,"lip swelling , peripheral edema , seizures , toothache , mouth ulcer , tongue lesions",General Practitioner
scleroderma,"feeling ill , lip swelling , abnormal appearing skin , skin growth , skin dryness, peeling, scaliness, or roughness , skin lesion , itching of skin , skin irritation",General Practitioner
myasthenia gravis,"shortness of breath , dizziness , double vision , slurring words , coughing up sputum , fatigue , weakness",General Practitioner
hypoglycemia,"depressive or psychotic symptoms , dizziness , abnormal involuntary movements , feeling ill , nausea , problems with movement , seizures , sweating , fainting , weakness , decreased appetite , sleepiness",General Practitioner
idiopathic absence of menstruation,"nausea , lower abdominal pain , pelvic pain , pain or soreness of breast , long menstrual periods , sharp abdominal pain , vaginal itching , absence of menstruation , heartburn",General Practitioner
dislocation of the ankle,"emotional symptoms , foot or toe pain , ankle swelling , ankle pain",General Practitioner
carbon monoxide poisoning,"depressive or psychotic symptoms , headache , emotional symptoms , vomiting , nausea , dizziness",General Practitioner
panic attack,"anxiety and nervousness , sharp chest pain , chest tightness , loss of sensation , shortness of breath , irregular heartbeat , weakness",Cardiologist
plantar fasciitis,"knee pain , foot or toe pain , ankle pain , bones are painful , problems with movement , ankle swelling , muscle pain",General Practitioner
hyperopia,"difficulty speaking , eye deviation , symptoms of eye , spots or clouds in vision , eye redness , diminished vision",General Practitioner
poisoning due to sedatives,"depression , drug abuse , depressive or psychotic symptoms , insomnia , hostile behavior , sleepiness",General Practitioner
pemphigus,"hand or finger pain , skin lesion , abnormal appearing skin",General Practitioner
peyronie disease,"mass in scrotum , impotence , penis pain , emotional symptoms , symptoms of prostate",General Practitioner
hiatal hernia,"dizziness , difficulty in swallowing , nausea , regurgitation , burning abdominal pain , heartburn , regurgitation.1 , sharp chest pain , back pain , vomiting blood , upper abdominal pain , sharp abdominal pain",General Practitioner
extrapyramidal effect of drugs,"abnormal involuntary movements , headache , restlessness , seizures , anxiety and nervousness , arm stiffness or tightness",General Practitioner
meniere disease,"headache , ringing in ear , nausea , facial pain , ear pain , dizziness , diminished hearing , allergic reaction",General Practitioner
anal fissure,"blood in stool , sharp abdominal pain , vaginal dryness , lower body pain , changes in stool appearance , constipation , pain of the anus , rectal bleeding",General Practitioner
allergy,"skin swelling , lip swelling , itchiness of eye , fluid retention , swollen eye , itching of skin , skin rash , cough , abnormal appearing skin , allergic reaction , peripheral edema",Allergist
chronic otitis media,"cough , nasal congestion , ear pain , allergic reaction , pulling at ears , painful sinuses , plugged feeling in ear , fever , fluid in ear , redness in ear",General Practitioner
fracture of the finger,"hand or finger swelling , hand or finger stiffness or tightness , foot or toe pain , hand or finger pain , foot or toe swelling",Orthopedic Surgeon
hirschsprung disease,"emotional symptoms , sharp abdominal pain , constipation",General Practitioner
polymyalgia rheumatica,"irregular heartbeat , difficulty in swallowing , leg pain , sharp chest pain , shoulder pain , fatigue",General Practitioner
lymphedema,"throat swelling , abnormal appearing skin , skin lesion , peripheral edema , lymphedema , leg swelling , fluid retention , leg pain , foot or toe swelling",General Practitioner
bladder cancer,"groin mass , mass in scrotum , blood in urine , excessive urination at night , symptoms of bladder , bladder mass , retention of urine",Oncologist
acute bronchospasm,"sharp chest pain , chest tightness , nasal congestion , vomiting , wheezing , difficulty breathing , shortness of breath , fever , sore throat , coryza , cough",General Practitioner
acute glaucoma,"diminished vision , blindness , double vision , symptoms of eye , spots or clouds in vision , eye redness , foreign body sensation in eye , pain in eye",Ophthalmologist
open wound of the chest,"sharp chest pain , drug abuse",General Practitioner
dislocation of the patella,"knee pain , knee stiffness or tightness , knee swelling",General Practitioner
sciatica,"leg pain , hip pain , low back pain , leg cramps or spasms , unusual color or odor to urine , leg weakness , problems with movement , back cramps or spasms , loss of sensation , lower body pain",General Practitioner
hypercalcemia,"dizziness , retention of urine , weakness , loss of sensation",General Practitioner
stress incontinence,"retention of urine , painful urination , frequent urination , blood in urine , hot flashes , intermenstrual bleeding , involuntary urination",General Practitioner
varicose veins,"leg pain , leg swelling , lymphedema , leg lump or mass , leg cramps or spasms , ache all over , skin lesion , peripheral edema",General Practitioner
benign kidney cyst,"sharp abdominal pain , vomiting , involuntary urination , blood in urine , low back pain , impotence , side pain",General Practitioner
hydrocele of the testicle,"retention of urine , groin mass , symptoms of the scrotum and testes , pain in testicles , mass in scrotum , lower abdominal pain , groin pain , swelling of scrotum",General Practitioner
degenerative disc disease,"leg pain , arm pain , back pain , low back pain , loss of sensation , shoulder pain , lower body pain , joint pain , neck pain , paresthesia , hip pain",General Practitioner
hirsutism,"abnormal appearing skin , acne or pimples , unwanted hair , apnea",General Practitioner
dislocation of the foot,"elbow weakness , vomiting , foot or toe pain",General Practitioner
hydronephrosis,"pain in testicles , sharp abdominal pain , nausea , lower abdominal pain , back pain , side pain , suprapubic pain , vomiting",General Practitioner
diverticulosis,"blood in stool , nausea , lower abdominal pain , heartburn , melena , rectal bleeding , sharp abdominal pain , vomiting , diarrhea , upper abdominal pain",General Practitioner
pain after an operation,"sharp chest pain , leg pain , headache , back pain , low back pain , nausea , lower abdominal pain , neck pain , side pain , sharp abdominal pain , vomiting",Pain Management Specialist
huntington disease,"anxiety and nervousness , elbow weakness",General Practitioner
lymphoma,"hoarse voice , groin mass , neck mass , itchy ear(s) , regurgitation , fatigue , regurgitation.1",General Practitioner
dermatitis due to sun exposure,"skin swelling , lack of growth , skin dryness, peeling, scaliness, or roughness , skin rash , irregular appearing scalp , skin moles , abnormal appearing skin , skin lesion , acne or pimples",General Practitioner
anemia due to chronic kidney disease,"shortness of breath , peripheral edema , recent weight loss , weakness , ankle swelling , fatigue",General Practitioner
injury to internal organ,"sharp chest pain , retention of urine , frequent urination , back pain , side pain , sharp abdominal pain",Traumatologist
scleritis,"abnormal involuntary movements , pain in eye , spots or clouds in vision , headache , eye redness",General Practitioner
pterygium,"diminished vision , foreign body sensation in eye , spots or clouds in vision , eye redness , acne or pimples , symptoms of eye , lacrimation",General Practitioner
fungal infection of the skin,"acne or pimples , irregular appearing scalp , itching of skin , itchy scalp , too little hair , skin rash , skin swelling , skin lesion , skin dryness, peeling, scaliness, or roughness , abnormal appearing skin",Infectious Disease Specialist
insulin overdose,"depressive or psychotic symptoms , emotional symptoms",General Practitioner
